SeniorCitizen,tenure,InternetService,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalCharges_per_tenure,TotalCharges_per_monthlyCharges,MonthlyCharges_tenure,protection_score,gender_Male,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,contract_risk,streaming_services,Partner_Yes,Dependents_Yes,PaperlessBilling_Yes,tenure_bin_1-2years,tenure_bin_2-4years,tenure_bin_4-6years
0,1,1,1,29.85,29.85,0,29.85,1.0,29.85,1,0,0,1,0,3,0,1,0,1,0,0,0
0,34,1,0,56.95,1889.5,0,55.5735294117647,33.17822651448639,1936.3,2,1,1,0,0,2,0,0,0,0,0,1,0
0,2,1,0,53.85,108.15,1,54.075,2.0083565459610027,107.7,2,1,1,0,0,3,0,0,0,1,0,0,0
0,45,1,0,42.3,1840.75,0,40.90555555555556,43.516548463356976,1903.5,3,1,0,1,0,2,0,0,0,0,0,1,0
0,2,2,1,70.7,151.65,1,75.825,2.144978783592645,141.4,0,0,1,0,0,3,0,0,0,1,0,0,0
0,8,2,1,99.65,820.5,1,102.5625,8.233818364274962,797.2,1,0,1,0,1,3,2,0,0,1,0,0,0
0,22,2,0,89.1,1949.4,0,88.60909090909091,21.87878787878788,1960.2,1,1,1,0,1,3,1,0,1,1,1,0,0
0,10,1,0,29.75,301.9,0,30.19,10.147899159663863,297.5,1,0,0,1,0,3,0,0,0,0,0,0,0
0,28,2,1,104.8,3046.05,1,108.7875,29.06536259541985,2934.4,2,0,1,0,1,3,2,1,0,1,0,1,0
0,62,1,0,56.15,3487.95,0,56.25725806451613,62.11843276936776,3481.3,2,1,1,0,0,2,0,0,1,0,0,0,1
0,13,1,0,49.95,587.45,0,45.18846153846154,11.76076076076076,649.35,1,1,1,0,0,3,0,1,1,1,1,0,0
0,16,0,0,18.95,326.8,0,20.425,17.24538258575198,303.2,0,1,1,0,0,1,0,0,0,0,1,0,0
0,58,2,0,100.35,5681.1,0,97.95,56.61285500747385,5820.299999999999,1,1,1,0,1,2,2,1,0,0,0,0,1
0,49,2,0,103.7,5036.3,1,102.78163265306122,48.56605593056895,5081.3,2,1,1,0,1,3,2,0,0,1,0,0,1
0,25,2,1,105.5,2686.05,0,107.442,25.46018957345972,2637.5,3,1,1,0,0,3,2,0,0,1,0,1,0
0,69,2,0,113.25,7895.15,0,114.42246376811592,69.71434878587196,7814.25,4,0,1,0,1,1,2,1,1,0,0,0,1
0,52,0,0,20.65,1022.95,0,19.672115384615385,49.53753026634383,1073.8,0,0,1,0,0,2,0,0,0,0,0,0,1
0,71,2,0,106.7,7382.25,0,103.97535211267606,69.18697282099343,7575.7,2,1,1,0,1,1,2,0,1,0,0,0,1
0,10,1,0,55.2,528.35,1,52.835,9.571557971014492,552.0,2,0,1,0,0,3,0,1,1,0,0,0,0
0,21,2,1,90.05,1862.9,0,88.70952380952382,20.687395891171573,1891.05,2,0,1,0,0,3,1,0,0,1,1,0,0
1,1,1,1,39.65,39.65,1,39.65,1.0,39.65,1,1,0,1,0,3,1,0,0,1,0,0,0
0,12,0,0,19.8,202.25,0,16.854166666666668,10.214646464646464,237.6,0,1,1,0,0,2,0,1,0,0,0,0,0
0,1,0,0,20.15,20.15,1,20.15,1.0,20.15,0,1,1,0,0,3,0,0,0,0,0,0,0
0,58,1,0,59.9,3505.1,0,60.43275862068965,58.51585976627713,3474.2,2,0,1,0,1,1,0,1,0,1,0,0,1
0,49,1,0,59.6,2970.3,0,60.61836734693878,49.83724832214765,2920.4,3,1,1,0,0,3,0,1,1,0,0,0,1
0,30,1,0,55.3,1530.6,0,51.02,27.678119349005424,1659.0,2,0,1,0,0,3,0,0,0,1,0,1,0
0,47,2,1,99.35,4749.15,1,101.04574468085106,47.80221439355813,4669.45,1,1,1,0,1,3,2,1,1,1,0,1,0
0,1,1,1,30.2,30.2,1,30.2,1.0,30.2,1,1,0,1,0,3,0,1,1,0,0,0,0
0,72,1,0,90.25,6369.45,0,88.46458333333334,70.57562326869805,6498.0,4,1,1,0,1,1,2,1,0,1,0,0,1
0,17,1,0,64.7,1093.1,1,64.3,16.894899536321482,1099.9,0,0,1,0,0,3,2,0,1,1,1,0,0
1,71,2,0,96.35,6766.95,0,95.30915492957746,70.23300467047224,6840.849999999999,4,0,1,0,1,1,0,1,0,1,0,0,1
1,2,2,0,95.5,181.65,0,90.825,1.9020942408376964,191.0,1,1,1,0,0,3,2,1,0,1,0,0,0
0,27,1,0,66.15,1874.45,0,69.42407407407407,28.33635676492819,1786.0500000000002,4,0,1,0,0,2,0,1,1,0,0,1,0
0,1,0,0,20.2,20.2,0,20.2,1.0,20.2,0,1,1,0,0,3,0,0,0,0,0,0,0
1,1,1,0,45.25,45.25,0,45.25,1.0,45.25,0,1,1,0,0,3,0,0,0,0,0,0,0
0,72,2,0,99.9,7251.7,0,100.71805555555557,72.58958958958958,7192.8,3,0,1,0,1,1,1,1,1,0,0,0,1
